code	data
スギ	スギ
ヒノキ	ヒノキ
サワラ	サワラ
イタヤカエデ	イタヤカエデ
カラマツ	カラマツ
アカマツ	アカマツ
クロマツ	クロマツ
ヒメコマツ	ヒメコマツ
トドマツ	トドマツ
アオトド	オオシラビソ
エゾマツ	エゾマツ
ミズメ	ミズメ
琉球マツ	リュウキュウマツ
コウヤマキ	コウヤマキ
アカエゾマツ	アカエゾマツ
シラベ	シラベ
トガサワラ	トガサワラ
ツガ	ツガ
コメツガ	コメツガ
ハリモミ	ハリモミ
トウヒ	トウヒ
ネズコ	ネズコ
イヌマキ	イヌマキ
ナギ	ナギ
イチョウ	イチョウ
カヤ	カヤ
フランスカイガンショウ	フランスカイガンショウ
リキダマツ	リキダマツ
他Ｎ	その他針葉樹
マダケ	マダケ
ハチク	ハチク
ヤマサクラ	ヤマサクラ
シデ	シデ
シオジ	シオジ
ニレ	ニレ
モウソウチク	モウソウチク
キリ	キリ
ツゲ	ツゲ
ヤマグルマ	ヤマグルマ
ミズキ	ミズキ
ブナ	ブナ
イヌブナ	イヌブナ
クリ	クリ
ヤナギ	ヤナギ
アカガシ	アカガシ
シラカシ	シラカシ
ツクバネカシ	ツクバネカシ
イチイガシ	イチイガシ
アラカシ	アラカシ
ウバメガシ	ウバメガシ
クヌギ	クヌギ
アベマキ	アベマキ
ミズナラ	ミズナラ
コナラ	コナラ
カシワ	カシワ
シイ	シイ
サワグルミ	サワグルミ
オニグルミ	オニグルミ
ウダイカンバ	ウダイカンバ
モミ	モミ
ハンノキ	ハンノキ
ケヤキ	ケヤキ
クス	クス
タブ	タブ
イス	イス
サクラ	サクラ
ウワミズサクラ	ウワミズサクラ
キハダ	キハダ
ヤチダモ	ヤチダモ
カエデ	カエデ
トチノキ	トチノキ
シナノキ	シナノキ
アサダ	アサダ
センノキ	センノキ
コブシ	コブシ
アオダモ	アオダモ
エノキ	エノキ
イヌエンジュ	イヌエンジュ
モチノキ	モチノキ
ヤマモモ	ヤマモモ
ダケカンバ	ダケカンバ
ムクノキ	ムクノキ
エゴノキ	エゴノキ
ポプラ	ポプラ
他Ｌ	その他広葉樹
シラカバ	シラカバ
カンバ	カンバ
イチイ	イチイ
ドロノキ	ドロノキ
ドイツトウヒ	ドイツトウヒ
ヒバ	ヒバ
カツラ	カツラ
ホオノキ	ホオノキ
ナツツバキ	ナツツバキ
